,dates,1,2,3,4,5
0,1986-01-25 13:33:31+00:00,175.01360289612893,181.40464567109817,233.42776784804443,210.29861982613298,218.1659002968536
1,1986-02-10 13:33:09+00:00,,188.54584826441115,241.39321955535428,213.8330985958687,221.28430669657251
2,1986-07-20 13:28:56+00:00,202.2679672065674,203.08618566395236,258.35582520291496,229.67257398117192,237.2631886933424
3,1986-08-28 13:33:41+00:00,,,,,
4,1986-09-13 13:33:09+00:00,,180.09421867351796,,,
5,1997-02-08 13:31:08+00:00,163.5398004463495,176.2456963207311,229.2665360050495,198.32656640596656,208.19418761599113
6,1998-01-26 13:42:05+00:00,154.53476336590603,182.78110488693474,223.9586128714186,203.83305659191652,197.4449265428494
7,1998-02-11 13:42:25+00:00,169.19427552382575,180.07721181282068,237.58796696137887,206.9547642560929,215.7244623034671
8,1998-09-23 13:45:11+00:00,164.9515193633192,180.1821417321157,229.0664734290872,,200.17548650020623
9,1999-03-02 13:45:33+00:00,,180.12009142415891,238.5613359239368,203.75103555414395,214.62485987280436
10,1999-03-18 13:45:20+00:00,170.07344317747194,179.3661019229496,235.5982049925293,203.85298589502122,216.68449328929864
11,1999-04-19 13:45:06+00:00,,159.39415062015152,,200.04197620362476,199.19286637339792
12,1999-07-08 13:44:08+00:00,161.19634919084814,,,,
13,1999-07-24 13:44:06+00:00,,175.90964855987,,,211.32870829002783
14,1999-08-01 13:59:16+00:00,163.3354996235073,176.12617868287452,222.0869439626108,194.09090637032787,
15,1999-08-09 13:44:02+00:00,183.42418234717923,182.4847617515318,238.800734400192,,213.99349513911793
16,1999-09-18 13:59:13+00:00,173.0584585052251,176.97575621687477,226.30602809051405,193.46460451079693,196.06330991795605
17,1999-11-21 13:59:10+00:00,,157.66288680908798,219.22962113576364,188.01447497795078,188.2510892011121
18,2000-01-08 13:59:12+00:00,175.69403156444616,178.4786578614928,233.21539059566155,206.35423383763114,205.9770776198665
19,2000-01-24 13:59:10+00:00,,154.85036548295105,217.02147657038768,184.07963176429627,191.2293278365255
20,2000-04-13 13:58:40+00:00,,168.4992385978628,225.59655751720055,201.21350376208426,198.03266251381967
21,2000-06-16 13:58:13+00:00,176.26182908342832,182.91957791650236,236.3206587795396,,217.36130469287804
22,2000-07-26 13:43:27+00:00,185.2531975610127,200.95871509269372,,,219.65308924424582
23,2000-08-03 13:57:30+00:00,161.06424152919712,,,,
24,2000-08-11 13:43:53+00:00,,200.95314535299843,249.35282845367365,217.29423494770288,
25,2000-08-27 13:44:14+00:00,184.69231479571033,192.37157230461094,226.7105990911333,202.6596096374546,234.86865171279516
26,2000-09-04 13:57:09+00:00,174.96637321932985,176.45420199539936,224.93951786610214,,212.45682353187692
27,2000-10-22 13:56:36+00:00,155.65325668690056,165.68003873530188,223.2917453307713,185.49280694172265,191.5017560778778
28,2000-11-07 13:56:40+00:00,162.3926878884556,152.62945245702008,206.23786795913836,176.6857098920225,178.79855926359377
