,dates,1,2,3,4,5
0,1986-01-25 13:33:31+00:00,193.2250991434553,199.61614191842455,251.6392640953708,228.51011607345936,236.37739654418
1,1986-02-10 13:33:09+00:00,,206.22469629280457,259.0720675837477,231.51194662426212,238.96315472496593
2,1986-07-20 13:28:56+00:00,222.5593279278224,223.37754638520738,278.64718592416995,249.96393470242694,257.55454941459743
3,1986-08-28 13:33:41+00:00,,,,,
4,1986-09-13 13:33:09+00:00,,161.52762361356963,,,
5,1997-02-08 13:31:08+00:00,185.7715225365745,198.47741841095612,251.4982580952745,220.55828849619158,230.42590970621615
6,1998-01-26 13:42:05+00:00,166.18961368017688,194.4359552012056,235.61346318568945,215.48790690618736,209.09977685712025
7,1998-02-11 13:42:25+00:00,191.45136181495235,202.33429810394728,259.84505325250547,229.21185054721948,237.9815485945937
8,1998-09-23 13:45:11+00:00,183.0615588070393,198.2921811758358,247.1765128728073,,218.28552594392633
9,1999-03-02 13:45:33+00:00,,203.67075196126552,262.1119964610434,227.30169609125056,238.17552040991097
10,1999-03-18 13:45:20+00:00,194.0552951299052,203.34795387538287,259.58005694496256,227.83483784745448,240.6663452417319
11,1999-04-19 13:45:06+00:00,,175.75406020166338,,216.4018857851366,215.55277595490978
12,1999-07-08 13:44:08+00:00,138.43197888169018,,,,
13,1999-07-24 13:44:06+00:00,,177.49491111621805,,,212.9139708463759
14,1999-08-01 13:59:16+00:00,175.37081295130167,188.1614920106689,234.12225729040517,206.12621969812224,
15,1999-08-09 13:44:02+00:00,194.39419923710773,193.4547786414603,249.7707512901205,,224.96351202904643
16,1999-09-18 13:59:13+00:00,153.04610399388736,156.96340170553702,206.2936735791763,173.45224999945918,176.0509554066183
17,1999-11-21 13:59:10+00:00,,167.80856716971547,229.37530149639113,198.16015533857828,198.3967695617396
18,2000-01-08 13:59:12+00:00,193.37287959283958,196.1575058898862,250.89423862405496,224.03308186602456,223.6559256482599
19,2000-01-24 13:59:10+00:00,,166.28962008955855,228.46073117699518,195.51888637090377,202.668582443133
20,2000-04-13 13:58:40+00:00,,145.32904107427976,202.4263599936175,178.0433062385012,174.86246499023662
21,2000-06-16 13:58:13+00:00,204.75850879634083,211.41625762941487,264.8173384924521,,245.85798440579055
22,2000-07-26 13:43:27+00:00,164.5560096253326,180.2615271570136,,,198.9559013085657
23,2000-08-03 13:57:30+00:00,181.24146334639508,,,,
24,2000-08-11 13:43:53+00:00,,207.154692473432,255.5543755741072,223.49578206813644,
25,2000-08-27 13:44:14+00:00,195.4340538775247,203.1133113864253,237.45233817294766,213.40134871926895,245.61039079460951
26,2000-09-04 13:57:09+00:00,160.24245459596918,161.73028337203868,210.21559924274146,,197.73290490851625
27,2000-10-22 13:56:36+00:00,134.38537423093516,144.41215627933647,202.0238628748059,164.22492448575724,170.23387362191238
28,2000-11-07 13:56:40+00:00,152.32310013053282,142.5598646990973,196.16828020121557,166.6161221340997,168.72897150567098
29,2000-11-23 13:56:40+00:00,175.41076277545807,178.86385830073414,,207.44426081653262,209.96998504787155
30,2000-12-09 13:56:43+00:00,,171.40567960652942,226.84039943333335,204.31173343678842,207.04664833977358
31,2000-12-25 13:56:49+00:00,,,,222.89182052145668,220.40371518946034
32,2001-01-10 13:56:50+00:00,174.7341990649605,186.44539290851048,242.1744930239872,,215.22529546126472
33,2001-01-26 13:56:53+00:00,184.40996096725615,188.652663592218,238.81944999994766,,218.7220120013973
34,2001-02-27 13:56:41+00:00,160.97521601039506,160.1926074732527,214.72380178491025,191.30643301009667,192.95026797808515
35,2001-03-15 13:56:38+00:00,153.6178774380548,148.49555389043624,201.9664899210529,180.04536224225228,184.32504479803413
36,2001-03-23 13:46:30+00:00,,,270.7237769472665,235.76715991735398,241.44225368569442
37,2001-04-08 13:46:16+00:00,,202.20249178741062,252.40485932750926,222.95097229535614,237.04918493657684
38,2001-05-02 13:56:26+00:00,,161.11991470613955,209.9415599448099,185.41919270882582,198.96760517197495
39,2001-05-18 13:56:13+00:00,149.77597285759774,,215.63874009370596,,188.37609270836543
40,2001-06-03 13:56:03+00:00,172.1426056418639,181.4577022913404,247.538416589388,213.36248885919815,
41,2001-06-19 13:55:52+00:00,185.71185104186173,193.84686458157836,250.33601904431168,227.60904609318237,215.42081607509084
42,2001-08-06 13:55:24+00:00,,189.91636960213657,246.61633502635337,,231.54869179746402
43,2001-08-30 13:46:33+00:00,,,,,
44,2001-09-07 13:54:57+00:00,,170.60734269944552,222.40820610193185,203.06383007616705,203.55735029068614
45,2001-09-15 13:46:27+00:00,,,244.64443825713164,223.68952850302293,223.90885777289378
46,2001-10-01 13:46:19+00:00,210.31588636462988,225.46048599475517,,236.60734553941577,243.81491912017492
47,2001-11-10 13:54:49+00:00,153.1978807507311,142.8241940424155,202.41669454735094,,184.75801173164848
48,2001-12-20 13:45:46+00:00,,,,166.25866105100067,188.8514572257049
49,2002-01-21 13:45:22+00:00,139.68879875495196,137.53801214074008,193.27806548771215,161.01919236709188,166.21536889595924
50,2002-01-29 13:55:08+00:00,182.2013520092591,180.53288875867162,,219.1118197216675,225.51119692254298
51,2002-02-22 13:44:44+00:00,,,,183.12355185021573,
52,2002-03-02 13:55:19+00:00,,165.97682341222333,210.05099519455993,187.17761874764395,209.23022524753694
53,2002-03-26 13:44:21+00:00,,,,,
54,2002-04-11 13:44:04+00:00,,199.55132821080412,247.272043510953,230.793789785385,233.562865875088
55,2002-04-27 13:43:38+00:00,,,,,
56,2002-06-06 13:54:57+00:00,173.45206146568034,174.15024551947542,238.70790304885756,208.253655961775,
57,2002-08-25 13:54:23+00:00,186.603158067456,183.0478042491028,246.03295510376765,218.00836048306826,224.07606804330635
58,2002-09-26 13:54:07+00:00,,169.3949160179345,228.86549769837683,197.79490520333368,209.5781771131287
59,2002-10-12 13:54:00+00:00,139.64672772033717,137.72486260883764,204.02957209895368,172.55438387846758,178.51078857086426
60,2002-10-28 13:54:09+00:00,,139.14429608550859,206.8928586004661,173.9788067881837,187.54250147750523
61,2002-11-13 13:54:15+00:00,138.2234644080811,,,172.14307536357575,
62,2002-12-31 13:54:42+00:00,156.87260590056738,162.1056763345838,212.04636657635575,,
63,2003-02-01 13:54:56+00:00,180.3348470813878,186.8235057293938,236.79933043080135,210.6945945932013,
64,2003-02-17 13:55:03+00:00,,188.29313202948939,246.2398307674429,223.04290547656882,232.8785187840601
65,2003-03-05 13:55:05+00:00,,189.7380345862897,235.38972907363294,223.11326082801006,226.29965301355898
66,2003-04-06 13:55:07+00:00,,,,,185.99599717063512
67,2003-07-27 13:54:51+00:00,,,,224.28139515737158,224.1785974212423
68,2003-08-28 13:54:44+00:00,180.22605694052712,182.19853340855389,226.13264195852915,203.55344921052048,244.48811787936253
69,2003-10-15 13:54:32+00:00,158.57733755722361,158.72934164946528,207.80486334718222,185.5707875876435,194.26810231023552
70,2003-11-16 13:54:57+00:00,152.8596145459411,141.30019856319691,210.04375671029658,166.8098634075765,185.89486570952127
71,2003-12-18 13:55:10+00:00,,158.7223830467594,209.12226967960984,,198.77687244990716
72,2004-01-11 13:45:07+00:00,172.65379887072538,176.98961334102088,210.41536667822172,202.9583663288198,207.60897677520995
73,2004-02-04 13:55:27+00:00,176.83376669556284,,236.35370607127305,207.13101169563404,
74,2004-03-07 13:55:34+00:00,,187.70898317951142,,222.22646969557664,
75,2004-04-08 13:55:35+00:00,176.47222272841128,188.4610086948841,243.1444040939054,214.5384999452534,215.75903082733862
76,2004-05-02 13:46:32+00:00,180.51750189879672,,235.72501665966809,217.02412928568873,
77,2004-05-26 13:55:31+00:00,,167.80821606011256,212.61531113594398,186.04118599764695,210.95519040629804
78,2004-08-06 13:49:08+00:00,,157.1618968491408,212.3027574249078,183.11697737218987,192.5234197710838
79,2004-08-14 13:55:10+00:00,203.1569643474911,,,,236.01690574622083
80,2004-08-22 13:49:34+00:00,159.77081148138205,,,195.0707360455618,196.88613147874077
81,2004-09-07 13:50:00+00:00,,,,175.9463227684755,176.79285357586042
82,2004-09-15 13:54:59+00:00,,,,,
83,2004-10-17 13:55:00+00:00,184.3994906552064,178.07409880511412,235.48829453010808,,211.21028963473285
84,2004-10-25 13:51:04+00:00,,,210.0234948774729,,202.2963877310442
85,2004-11-02 13:55:14+00:00,,162.23335630757435,213.3909491085112,,211.10345176806115
86,2004-11-10 13:51:22+00:00,179.06638502004301,187.32869994711132,246.79527665916504,212.6839820238334,219.84882907593462
87,2004-12-28 13:52:15+00:00,,,217.101158032567,,204.18067925777677
88,2005-01-05 13:55:44+00:00,127.47936253960219,139.87598985160562,199.63744102667997,164.95371194122117,179.13916798081584
89,2005-02-06 13:55:53+00:00,154.38135206712346,163.12860853202102,220.71805378678297,189.65036782827053,191.11104986264297
90,2005-02-22 13:56:01+00:00,174.1017356219639,176.23793426345173,239.1627040645818,213.22184577218277,221.6305679061313
91,2005-03-02 13:53:10+00:00,144.9952226495014,158.51905662547043,,174.3398176586823,201.94948966043984
92,2005-03-10 13:56:04+00:00,176.2599920266849,186.49341590047635,239.2496011181401,220.39470809454957,222.2037218419514
93,2005-03-18 13:53:20+00:00,139.20760446787082,155.89635496399114,,168.27029480744537,197.47890952779835
94,2005-03-26 13:56:02+00:00,175.87657990750978,186.2119422555196,236.82872999800404,219.31509030425005,226.29522845801247
95,2005-04-11 13:55:57+00:00,185.0061325478716,181.5187180734701,239.40760211667256,,218.4738115859994
96,2005-04-19 13:53:29+00:00,163.78723347997408,158.64795749725596,230.50964116787517,195.44941967319954,199.51584383766857
97,2005-05-13 13:55:59+00:00,,179.56886212363298,,209.5959839425151,
98,2005-05-21 13:53:43+00:00,,186.84242621233636,232.5055187327252,215.57071380197857,224.97826340400036
99,2005-05-29 13:55:56+00:00,159.51068151566128,165.10309219240344,222.2434678529487,185.8916035575376,205.70266853272224
100,2005-06-14 13:55:48+00:00,154.17970734597995,,,,
101,2005-07-08 13:54:01+00:00,193.80109959479523,,251.64952591224252,221.02997156329667,236.99266301308037
102,2005-07-16 13:55:47+00:00,159.462025991788,,212.1512553700841,189.27276501137135,197.5647971563636
103,2005-08-17 13:55:41+00:00,,168.87450335521356,212.82752168913044,202.7162486770169,197.3621205546
104,2005-09-10 13:54:30+00:00,,,,,
105,2005-10-20 13:55:34+00:00,179.08227340968787,189.93521674180585,247.67355626691145,218.2693271920992,225.43599156418202
106,2005-11-21 13:55:54+00:00,,157.03573426638005,207.41715395536644,180.07427819748642,197.6874784367175
107,2006-01-24 13:56:19+00:00,,135.448467915158,195.24598294685023,167.93355376992318,172.80659607696407
108,2006-02-09 13:56:24+00:00,,,,169.26201214324504,183.32856300294995
109,2006-02-17 13:56:56+00:00,157.06175300007519,158.1926648519527,215.44720138679762,195.70512514832066,192.99069699666234
110,2006-02-25 13:56:27+00:00,152.7973497885708,,204.20232664732788,178.44944983797066,182.62549314340475
111,2006-03-29 13:56:26+00:00,175.79499899559346,182.62283701897684,245.3182613903327,,224.0898455157986
112,2006-04-22 13:58:10+00:00,149.67904634916633,152.53903690943335,197.44016578519694,178.4558066977237,184.3958412335797
113,2006-04-30 13:56:24+00:00,187.365098471676,195.84255165867717,,,238.904714555927
114,2006-05-16 13:56:26+00:00,184.76460630109602,186.98690465551317,239.6758585891721,218.7521175778506,223.7777572001901
115,2006-06-01 13:56:25+00:00,161.1005925138766,161.25450135829036,215.33843214697535,185.28032640884155,196.6991081501885
116,2006-07-03 13:56:15+00:00,,162.9229558748238,210.20340509397826,,204.39658105559832
117,2006-07-11 13:59:20+00:00,,,280.74390874756193,257.0025374847948,234.18360886291507
118,2006-08-12 13:59:45+00:00,187.01012532984788,202.70464432115543,240.0068528840017,225.73916268055316,239.21979774521787
119,2006-08-20 13:56:01+00:00,,171.3586597333821,,206.79170489823588,
120,2006-08-28 13:59:57+00:00,175.5447421496443,184.05387447230785,231.21423753938228,217.9150115877142,229.24228393198396
121,2006-09-13 14:00:09+00:00,160.5692788590108,176.3562032066932,231.69388817297096,186.2360307946639,190.1511836694388
122,2006-09-29 14:00:20+00:00,158.4281358357299,160.7292695187823,,191.19952720578735,200.04468710063347
123,2006-10-07 13:55:42+00:00,,255.3279297663692,,,239.71416787397223
124,2006-11-16 14:00:48+00:00,145.02233279789027,155.1524776054444,210.9273647119383,177.80162980877714,
125,2006-12-02 14:00:56+00:00,170.29436376746372,172.78527707635692,215.57794690088048,190.40663130674835,209.04157987775892
126,2006-12-18 14:01:04+00:00,155.73602846532475,170.32710089656166,224.01101082452325,,
127,2007-01-19 14:01:17+00:00,165.05473946018947,175.71531362256164,231.24028481642975,206.35518479138457,207.03926226494778
128,2007-01-27 13:56:40+00:00,128.4183534246182,,189.34271875249564,165.98484860102394,167.5677756976731
129,2007-02-12 13:56:46+00:00,,136.32767566782326,,164.28824508008077,
130,2007-04-01 13:56:54+00:00,180.03583012065366,189.75682022172197,246.60312227541226,207.5108014690746,216.51312765099968
131,2007-04-17 13:56:52+00:00,,191.58086826904326,,,
132,2007-06-04 13:56:37+00:00,176.79258147153317,181.69034968631038,,211.1613575841416,233.06233627888022
133,2007-07-06 13:56:35+00:00,,,,,
134,2007-07-30 13:59:54+00:00,,220.6165531452717,,235.4605985920408,240.1931511398291
135,2007-08-07 13:56:27+00:00,138.53379285913326,,205.78564259927788,178.51533169544345,179.10536798454237
136,2007-08-22 14:05:51+00:00,148.88712066661563,150.84350934322524,213.38647283082167,187.0511182379656,179.6225806971708
137,2007-09-07 14:05:42+00:00,,,,,
138,2007-09-16 13:59:27+00:00,154.14533013759424,175.28925676333998,223.23807707294966,193.66600960370064,193.04236899822212
139,2007-09-24 13:56:08+00:00,,,,,
140,2007-10-10 13:56:05+00:00,181.3196816387545,192.6603617051464,,220.68909791586265,225.83027647895983
141,2007-11-27 13:56:34+00:00,160.60386556976007,165.32421371902612,207.43635358998247,,204.14538000131682
142,2007-12-29 13:56:42+00:00,129.18493311753608,151.43424433230714,199.6641555179026,169.8862743285106,165.35533364469418
143,2008-01-30 13:56:41+00:00,135.27560471629502,138.9646660344701,201.71673021406772,177.98667878185924,
144,2008-02-15 13:56:38+00:00,135.85751047264912,138.44837430146038,198.15447024555647,180.2082967417309,186.24063306072293
145,2008-02-23 13:56:47+00:00,,175.40508331014325,233.65126233770303,212.75447203495818,214.77523735700615
146,2008-03-02 13:56:33+00:00,155.81375616182677,153.0583945998371,193.80453223230867,,182.66806599631116
147,2008-04-19 13:56:28+00:00,,190.3080103883594,,,
148,2008-05-05 13:56:25+00:00,204.26193112708535,206.9297890709025,,221.63091678142908,234.03503128722164
149,2008-06-06 13:56:11+00:00,195.49456429190184,206.9062727229335,,231.29045293681472,241.2557098863293
150,2008-06-22 13:56:01+00:00,177.8344484081922,180.9972372802089,,208.50074048296412,
151,2008-07-08 13:55:50+00:00,,171.3595883491421,211.30228493490225,185.94676130121903,202.38665854089368
152,2008-07-24 13:55:39+00:00,157.34154736554325,161.27351037190064,208.25356610473838,,198.7071623625746
153,2008-09-26 13:55:09+00:00,173.6584662408229,164.79286979178931,,200.1154948235463,199.05335780143997
154,2008-10-28 13:55:15+00:00,,,,,
155,2008-11-21 13:49:51+00:00,,,,,
156,2008-12-07 13:50:22+00:00,,133.16986244589503,183.27875571241418,154.91602200068985,175.68372243929218
157,2008-12-15 13:55:51+00:00,,169.3126348228221,210.44123005978344,182.7320400811944,207.21470013321243
158,2008-12-31 13:55:59+00:00,,172.93654119231124,213.54849551805387,206.25436572667894,197.43195344478875
159,2009-01-08 13:51:15+00:00,145.13104571296032,146.7613434683426,202.66276425969667,,
160,2009-01-16 13:56:04+00:00,154.95078345527608,142.45290234257382,199.23876676560224,178.1560022221468,178.4190328890729
161,2009-02-17 13:56:17+00:00,,136.87219089973132,192.7763634955306,160.43481236106325,172.78641689013858
162,2009-03-05 13:56:26+00:00,152.7884451055866,140.22995672865702,191.92606992386172,168.0829648989341,174.5666873204949
163,2009-03-21 13:56:34+00:00,153.69270476855897,149.93598906618007,204.4996458260912,,199.3525245647407
164,2009-05-24 13:56:48+00:00,199.59767959055057,219.79352307809495,255.3594528617936,229.70063813574532,233.26542684412604
165,2009-06-09 13:56:48+00:00,,197.50750369168975,261.4995360647207,225.80753917585713,233.07672482644907
166,2009-06-25 13:56:46+00:00,184.64764837544203,188.77696813096063,264.6075024573469,244.80191050729744,219.437358688824
167,2009-07-27 13:56:37+00:00,,171.92720275006388,209.30076065036263,,194.84065252685818
168,2009-08-12 13:56:32+00:00,148.61848228186238,160.30201472529058,,174.57536527984203,179.80909047972392
169,2009-10-15 13:56:30+00:00,153.05230806952224,172.90940349693238,219.2926428536135,186.96494633866584,187.6102229393215
170,2009-10-31 13:56:46+00:00,157.95798468187778,179.41031400231503,238.91238504866806,191.77454011694434,198.82530922119363
171,2009-11-08 13:56:41+00:00,149.2104839817115,148.82742595139817,,163.55514786116058,170.4332579523946
172,2009-12-02 13:57:10+00:00,,164.00892344485297,222.0346740435061,190.40430726043812,196.34224229543454
173,2009-12-18 13:57:25+00:00,152.56060529742874,157.89185727113832,211.89982142052543,183.96021253124314,189.10289948108533
174,2010-01-03 13:57:42+00:00,170.17222561859026,180.11599471397645,231.6308865226793,190.8149458553435,203.93277695998438
175,2010-03-08 13:58:27+00:00,126.23220591709978,136.0598554968485,,149.82282807418395,172.62829715694448
176,2010-03-24 13:58:32+00:00,,144.66645860487824,194.3010300408044,166.04678674791882,173.56327165445757
177,2010-04-09 13:58:34+00:00,,,202.12655287919145,,179.59443933358077
178,2010-04-25 13:58:34+00:00,,171.3916860855166,217.23265466360976,187.4219639557302,196.36304068065704
179,2010-05-27 13:58:29+00:00,,190.65809294787462,,,206.29379583031195
180,2010-06-12 13:58:30+00:00,,,256.774285988044,228.02009988684904,237.99700197476614
181,2010-08-15 13:58:35+00:00,,,201.91685241227756,,199.18233339088292
182,2010-08-31 13:58:38+00:00,,141.8514794389392,199.43551331024756,165.5015242503628,178.69099519724656
183,2010-09-16 13:58:39+00:00,151.3231688015925,145.05998790160092,188.1865104409979,174.90261102654634,174.70188936729596
184,2010-11-11 13:56:09+00:00,147.29275140245863,152.5273776600146,,185.42440212959315,
185,2010-12-05 13:59:18+00:00,,171.78209907688884,239.41671567774222,,201.65356080011233
186,2010-12-13 13:56:11+00:00,,151.79331127501547,198.1065592151474,167.28962237660207,174.86331459831138
187,2010-12-21 13:59:25+00:00,,171.09674170148858,219.23691660836363,190.41147121555997,206.2340908762716
188,2010-12-29 13:56:16+00:00,136.96306440091956,133.84305073806752,,161.38551951890312,162.647025505744
189,2011-01-06 13:59:35+00:00,172.54871512955097,182.5664877902943,,216.28410749884438,219.30582081165124
190,2011-01-14 13:56:17+00:00,162.93518072706385,161.5807350091734,201.1896534434828,171.14694314719802,195.4795993897483
191,2011-02-07 13:59:47+00:00,,167.01440946225753,211.4747428579539,,199.10035327128554
192,2011-03-03 13:56:19+00:00,170.83726669752406,175.925125671357,,212.69049612098277,206.54694352131082
193,2011-03-19 13:56:13+00:00,178.51523647104509,,236.56698234882094,214.99697015932742,218.66516153270143
194,2011-03-27 13:59:57+00:00,,,202.150931307147,178.32483424293312,168.66642907397016
195,2011-04-28 13:59:59+00:00,,159.41987902644092,205.38337123716633,175.04516014816335,194.20709907925672
196,2011-05-14 13:59:56+00:00,,,,,
197,2011-07-01 13:59:53+00:00,,,,,
198,2011-08-18 13:59:46+00:00,,178.56806950718664,,189.44204156088486,
199,2011-09-03 13:59:42+00:00,,145.76794245602187,202.47041972452422,164.88123184324658,
200,2011-12-08 14:00:08+00:00,153.33771874888023,,223.7367319504099,196.7477171842347,192.4544727415839
201,2011-12-24 14:00:18+00:00,168.68765363064026,168.13275856338046,240.5674226965794,200.54073598393785,193.27329161276498
202,2012-01-25 14:00:21+00:00,,169.69839375676045,,188.5871650397845,201.03817743507344
203,2012-03-13 14:00:28+00:00,160.02840012170785,171.74185716686702,,,
204,2012-04-14 14:00:25+00:00,133.20858952312915,138.94670639274275,201.1703441885353,175.91725588055797,
205,2012-06-17 14:00:48+00:00,,215.56419273413707,,,244.03455281833132
206,2012-07-03 14:00:58+00:00,176.36982832953032,210.7569549116536,275.9020286714813,,232.47615975111592
207,2012-07-19 14:01:12+00:00,178.9184921730927,204.9672511348681,,237.9521500887473,225.80261734137358
208,2012-08-04 14:01:22+00:00,,207.99205811481804,251.89253015517653,228.91923100376877,233.61642468476626
